Name,Created,Runtime,learning_rate,max_depth,n_estimators,subsample,rmse
twilight-sweep-30,2024-04-22T02:24:17.000Z,7,0.15,7,200,0.9,533.1952066
grateful-sweep-27,2024-04-22T02:23:47.000Z,8,0.15,7,100,0.9,533.1952066
rosy-sweep-5,2024-04-22T02:19:52.000Z,6,0.1,5,200,0.8,534.3582909
crimson-sweep-4,2024-04-22T02:19:41.000Z,8,0.1,5,200,0.7,538.5901266
classic-sweep-1,2024-04-22T02:19:10.000Z,7,0.1,5,100,0.7,538.5901266
logical-sweep-47,2024-04-22T02:28:42.000Z,12,0.2,7,200,0.8,539.7423796
denim-sweep-44,2024-04-22T02:27:54.000Z,12,0.2,7,100,0.8,539.7423796
wandering-sweep-11,2024-04-22T02:20:53.000Z,8,0.1,7,200,0.8,527.2660116103415
volcanic-sweep-8,2024-04-22T02:20:22.000Z,7,0.1,7,100,0.8,527.2660116103415
icy-sweep-10,2024-04-22T02:20:43.000Z,7,0.1,7,200,0.7,530.2687574956694
warm-sweep-7,2024-04-22T02:20:12.000Z,7,0.1,7,100,0.7,530.2687574956694
vivid-sweep-28,2024-04-22T02:23:57.000Z,8,0.15,7,200,0.7,532.3983408590336
dry-sweep-25,2024-04-22T02:23:21.000Z,12,0.15,7,100,0.7,532.3983408590336
ancient-sweep-6,2024-04-22T02:20:02.000Z,8,0.1,5,200,0.9,532.5168875774108
chocolate-sweep-29,2024-04-22T02:24:07.000Z,8,0.15,7,200,0.8,532.5761178879309
vital-sweep-26,2024-04-22T02:23:36.000Z,7,0.15,7,100,0.8,532.5761178879309
earnest-sweep-16,2024-04-22T02:21:44.000Z,8,0.1,9,200,0.7,532.6906707667258
hardy-sweep-13,2024-04-22T02:21:14.000Z,7,0.1,9,100,0.7,532.6906707667258
light-sweep-12,2024-04-22T02:21:03.000Z,8,0.1,7,200,0.9,533.6309995564312
jolly-sweep-9,2024-04-22T02:20:33.000Z,7,0.1,7,100,0.9,533.6309995564312
trim-sweep-35,2024-04-22T02:25:09.000Z,7,0.15,9,200,0.8,534.6775197361384
copper-sweep-32,2024-04-22T02:24:38.000Z,7,0.15,9,100,0.8,534.6775197361384
happy-sweep-18,2024-04-22T02:22:05.000Z,7,0.1,9,200,0.9,534.9045416387563
fragrant-sweep-15,2024-04-22T02:21:34.000Z,5,0.1,9,100,0.9,534.9045416387563
brisk-sweep-24,2024-04-22T02:23:07.000Z,7,0.15,5,200,0.9,535.4239658160972
lively-sweep-48,2024-04-22T02:28:58.000Z,10,0.2,7,200,0.9,535.5563484626665
whole-sweep-45,2024-04-22T02:28:10.000Z,11,0.2,7,100,0.9,535.5563484626665
radiant-sweep-21,2024-04-22T02:22:36.000Z,7,0.15,5,100,0.9,535.5627466024903
sleek-sweep-3,2024-04-22T02:19:31.000Z,8,0.1,5,100,0.9,536.0146106221539
lyric-sweep-46,2024-04-22T02:28:26.000Z,11,0.2,7,200,0.7,536.3506031552406
dandy-sweep-43,2024-04-22T02:27:39.000Z,10,0.2,7,100,0.7,536.3506031552406
denim-sweep-17,2024-04-22T02:21:55.000Z,7,0.1,9,200,0.8,536.3754502886986
wild-sweep-14,2024-04-22T02:21:24.000Z,7,0.1,9,100,0.8,536.3754502886986
smart-sweep-23,2024-04-22T02:22:56.000Z,8,0.15,5,200,0.8,537.5676420881724
stellar-sweep-20,2024-04-22T02:22:25.000Z,8,0.15,5,100,0.8,537.5676420881724
breezy-sweep-2,2024-04-22T02:19:21.000Z,7,0.1,5,100,0.8,539.4375822880926
fragrant-sweep-53,2024-04-22T02:30:18.000Z,10,0.2,9,200,0.8,539.4699583133181
earthy-sweep-50,2024-04-22T02:29:30.000Z,11,0.2,9,100,0.8,539.4699583133181
hopeful-sweep-54,2024-04-22T02:30:34.000Z,10,0.2,9,200,0.9,539.4779865039598
serene-sweep-51,2024-04-22T02:29:46.000Z,11,0.2,9,100,0.9,539.4779865039598
scarlet-sweep-42,2024-04-22T02:27:23.000Z,11,0.2,5,200,0.9,540.0499280337023
revived-sweep-39,2024-04-22T02:26:08.000Z,10,0.2,5,100,0.9,540.0499280337023
driven-sweep-36,2024-04-22T02:25:19.000Z,7,0.15,9,200,0.9,540.2048379391557
rose-sweep-33,2024-04-22T02:24:48.000Z,8,0.15,9,100,0.9,540.2048379391557
gallant-sweep-41,2024-04-22T02:27:01.000Z,16,0.2,5,200,0.8,540.6701709433755
crisp-sweep-38,2024-04-22T02:25:52.000Z,11,0.2,5,100,0.8,540.6701709433755
fallen-sweep-34,2024-04-22T02:24:58.000Z,7,0.15,9,200,0.7,541.2896084066215
fiery-sweep-31,2024-04-22T02:24:28.000Z,7,0.15,9,100,0.7,541.2896084066215
rosy-sweep-22,2024-04-22T02:22:46.000Z,8,0.15,5,200,0.7,542.5253404861277
woven-sweep-19,2024-04-22T02:22:15.000Z,7,0.15,5,100,0.7,542.5253404861277
young-sweep-40,2024-04-22T02:26:24.000Z,10,0.2,5,200,0.7,544.3513921135852
clean-sweep-37,2024-04-22T02:25:36.000Z,12,0.2,5,100,0.7,544.3513921135852
lemon-sweep-52,2024-04-22T02:30:02.000Z,11,0.2,9,200,0.7,545.2885146385388
glad-sweep-49,2024-04-22T02:29:14.000Z,11,0.2,9,100,0.7,545.2885146385388
